,RSI
9,61.08
10,57.38
11,37.85
12,29.52
13,30.8
14,14.86
15,8.08
16,5.89
17,8.83
18,12.63
19,10.86
20,24.52
21,30.84
22,33.64
23,30.59
24,37.8
25,40.24
26,39.7
27,33.24
28,36.93
29,21.81
30,38.2
31,51.9
32,52.35
33,49.0
34,59.95
35,47.02
36,54.98
37,54.58
38,57.53
39,49.66
40,35.3
41,30.97
42,39.58
43,29.03
44,41.01
45,27.78
46,30.36
47,26.39
48,45.16
49,51.81
50,70.13
51,70.53
52,78.91
53,78.09
54,94.94
55,88.61
56,88.74
57,78.17
58,73.11
59,49.2
60,26.56
61,30.26
62,46.89
63,44.31
64,53.99
65,50.85
66,56.1
67,50.66
68,55.71
69,70.45
70,73.37
71,65.74
72,52.38
73,54.55
74,55.29
75,61.49
76,71.99
77,63.4
78,56.26
79,55.85
80,54.63
81,66.47
82,59.62
83,65.19
84,54.37
85,56.14
86,61.92
87,68.11
88,64.35
89,69.6
90,69.11
91,70.11
92,65.77
93,66.88
94,43.38
95,44.48
96,51.6
97,49.9
98,37.47
99,58.21
100,60.95
101,51.42
102,63.03
103,87.89
104,89.5
105,91.03
106,89.85
107,89.85
108,74.53
109,77.37
110,89.32
111,87.04
112,72.09
113,78.73
114,74.74
115,71.84
116,59.27
117,68.79
118,49.45
119,43.6
120,35.21
121,44.84
122,24.15
123,24.79
124,31.75
125,46.33
126,35.93
127,59.46
128,58.51
129,62.21
130,47.68
131,60.28
132,62.43
133,56.57
134,46.97
135,49.83
136,46.19
137,40.13
138,49.51
139,65.15
140,49.16
141,58.37
142,59.1
143,57.58
144,61.79
145,54.98
146,55.51
147,51.98
148,33.71
149,45.27
150,36.96
151,45.49
152,51.5
153,59.08
154,55.29
155,63.22
156,64.21
157,96.13
158,95.77
159,86.49
160,85.03
161,68.05
162,54.94
163,59.62
164,56.41
165,58.15
166,51.25
167,63.34
168,73.26
169,72.7
170,70.66
171,79.23
172,68.27
173,59.75
174,58.59
175,56.13
176,41.9
177,50.2
178,47.38
179,65.5
180,61.35
181,49.38
182,59.1
183,44.59
184,36.58
185,37.73
186,31.87
187,28.55
188,35.53
189,36.5
190,52.58
191,53.12
192,68.12
193,83.2
194,84.6
195,83.07
196,99.79
197,99.71
198,95.47
199,94.21
200,70.96
201,72.33
202,63.71
203,41.44
204,37.8
205,29.78
206,23.72
207,45.21
208,48.07
209,59.25
210,50.45
211,60.89
212,85.63
213,90.61
214,91.19
215,74.22
216,52.98
217,44.16
218,57.38
219,59.37
220,41.94
221,36.32
222,29.76
223,35.75
224,35.43
225,40.33
226,51.28
227,42.02
228,44.19
229,53.62
230,67.49
231,76.34
232,72.77
233,90.81
234,76.6
235,76.71
236,68.69
237,68.55
238,72.26
239,67.14
240,71.36
241,76.3
242,75.38
243,89.9
244,83.78
245,94.3
246,90.54
247,82.81
248,82.21
249,88.45
250,80.04
251,79.19
252,69.97
253,80.17
254,74.35
255,77.99
256,86.12
257,63.91
258,55.8
259,51.56
260,60.26
261,63.9
262,56.04
263,49.61
264,56.91
265,54.16
266,61.94
267,67.64
268,64.22
269,45.02
270,43.19
271,40.79
272,47.65
273,36.87
274,32.36
275,41.54
276,34.16
277,47.53
278,78.04
279,85.93
280,81.07
281,67.16
282,73.85
283,74.95
284,71.05
285,58.23
286,54.03
287,47.71
288,33.53
289,33.33
290,42.91
291,45.0
292,37.82
293,39.13
294,43.27
295,49.36
296,41.11
297,30.75
298,22.0
299,16.47
300,18.36
301,17.88
302,24.53
303,34.44
304,33.48
305,31.66
306,29.7
307,35.91
308,44.09
309,46.7
310,54.66
311,59.13
312,54.52
313,53.39
314,72.16
315,96.05
316,98.46
317,97.1
318,87.75
319,76.82
320,73.4
321,50.4
322,52.93
323,48.46
324,48.16
325,37.45
326,29.0
327,34.44
328,50.22
329,46.25
330,59.96
331,59.04
332,49.13
333,35.22
334,32.78
335,52.17
336,47.94
337,35.2
338,26.33
339,19.78
340,15.53
341,22.71
342,33.28
343,33.18
344,24.53
345,21.91
346,23.8
347,25.82
348,37.35
349,51.96
350,47.88
351,56.81
352,68.77
353,74.55
354,87.43
355,85.84
356,95.42
357,77.43
358,79.92
359,84.14
360,81.11
361,72.41
362,68.98
363,71.46
364,62.83
365,62.26
366,70.36
367,65.85
368,53.04
369,38.1
370,54.55
371,60.57
372,55.01
373,56.14
374,40.65
375,52.96
376,56.12
377,40.83
378,42.19
379,32.66
380,25.86
381,24.66
382,31.76
383,38.61
384,28.17
385,20.3
386,24.24
387,27.97
388,28.52
389,41.55
390,32.84
391,29.24
392,22.22
393,21.63
394,38.29
395,48.19
396,48.57
397,56.64
398,49.66
399,60.66
400,61.93
401,47.73
402,37.81
403,23.69
404,32.98
405,33.33
406,25.75
407,24.5
408,38.98
409,41.37
410,61.56
411,72.29
412,75.29
413,65.71
414,66.48
415,86.56
416,84.92
417,82.06
418,65.99
419,61.73
420,67.98
421,72.73
422,72.73
423,75.38
424,68.38
425,62.14
426,61.63
427,76.28
428,72.89
429,57.34
430,42.94
431,51.83
432,28.95
433,35.04
434,28.41
435,20.71
436,20.38
437,18.15
438,33.2
439,38.1
440,31.01
441,49.51
442,48.76
443,58.5
444,71.57
445,56.48
446,53.73
447,51.78
448,45.01
449,42.76
450,22.16
451,25.18
452,29.16
453,18.64
454,22.32
455,27.08
456,12.64
457,12.9
458,39.92
459,59.72
460,57.73
461,56.75
462,67.26
463,68.48
464,75.18
465,96.15
466,97.94
467,97.43
468,94.64
469,94.69
470,95.33
471,95.54
472,98.19
473,86.2
474,83.21
475,79.4
476,59.27
477,62.67
478,62.58
479,56.14
480,41.15
481,34.88
482,59.37
483,52.63
484,49.21
485,60.52
486,43.62
487,48.79
488,52.68
489,61.4
490,70.62
491,62.4
492,62.6
493,67.18
494,67.18
495,87.66
496,88.55
497,89.2
498,89.24
499,75.95
500,78.59
501,72.86
502,61.56
503,62.96
504,59.0
505,35.06
506,19.64
507,24.33
508,24.94
509,17.31
510,15.29
511,26.63
512,22.63
513,30.21
514,47.11
515,44.36
516,36.19
517,32.66
518,28.7
519,42.18
520,39.61
521,46.46
522,39.04
523,33.97
524,51.68
525,64.97
526,82.71
527,89.59
528,87.03
529,87.03
530,79.71
531,87.66
532,88.31
533,83.47
534,83.55
535,83.29
536,59.25
537,62.8
538,40.3
539,51.17
540,50.46
541,53.11
542,48.81
543,49.13
544,48.07
545,55.75
546,61.78
547,81.13
548,74.73
549,54.93
550,50.21
551,50.76
552,48.3
553,43.74
554,33.61
555,14.71
556,17.14
557,15.99
558,16.74
559,8.26
560,9.46
561,11.5
562,11.33
563,40.93
564,38.04
565,30.31
566,35.1
567,49.05
568,55.86
569,60.41
570,47.36
571,52.63
572,45.07
573,38.79
574,34.16
575,25.31
576,20.63
577,23.08
578,14.92
579,36.09
580,35.07
581,36.11
582,36.58
583,46.32
584,48.75
585,57.01
586,56.72
587,66.67
588,60.86
589,61.97
590,56.74
591,69.61
592,56.56
593,73.37
594,49.08
595,39.43
596,47.05
597,46.64
598,59.94
599,62.33
600,58.78
601,73.01
602,66.95
603,78.22
604,85.24
605,82.57
606,66.07
607,58.97
608,58.63
609,49.77
610,40.89
611,49.05
612,52.16
613,43.34
614,44.11
615,61.38
616,54.55
617,52.97
618,86.92
619,96.81
620,89.27
621,92.86
622,86.67
623,38.95
624,26.71
625,23.22
626,36.5
627,32.86
628,20.24
629,24.83
630,29.89
631,26.27
632,41.04
633,62.19
634,66.27
635,58.58
636,66.72
637,80.59
638,79.52
639,71.62
640,89.14
641,88.55
642,73.06
643,69.59
644,64.72
645,53.23
646,48.99
647,58.36
648,58.2
649,45.88
650,50.0
651,59.36
652,44.19
653,43.3
654,45.33
655,48.12
656,38.11
657,50.97
658,46.15
659,47.42
660,34.57
661,44.73
662,49.89
663,53.57
664,44.69
665,41.51
666,24.59
667,33.73
668,19.71
669,42.38
670,31.39
671,43.07
672,36.79
673,37.01
674,53.3
675,68.67
676,63.29
677,75.33
678,71.61
679,71.77
680,55.66
681,61.58
682,70.17
683,51.94
684,40.23
685,35.09
686,28.79
687,28.79
688,37.2
689,43.68
690,44.9
691,38.35
692,50.79
693,56.43
694,54.83
695,37.88
696,35.71
697,30.19
698,24.84
699,25.47
700,11.4
701,4.17
702,21.99
703,40.28
704,44.56
705,62.23
706,47.35
707,48.6
708,57.78
709,62.05
710,60.56
711,46.81
712,52.01
713,56.42
714,48.84
715,66.89
716,75.25
717,65.6
718,69.13
719,71.4
720,95.61
721,94.74
722,95.45
723,95.38
724,92.06
725,85.29
726,88.39
727,88.48
728,91.98
729,94.44
730,93.79
731,93.03
732,82.3
733,80.45
734,66.93
735,71.03
736,62.89
737,51.41
738,48.92
739,32.89
740,26.59
741,31.89
742,32.47
743,50.67
744,46.67
745,47.92
746,59.94
747,51.68
748,56.92
749,69.64
750,72.62
751,74.16
752,49.18
753,40.76
754,41.16
755,23.82
756,49.32
757,57.24
758,55.68
759,57.14
760,61.16
761,76.96
762,77.88
763,70.43
764,80.54
765,57.78
766,45.07
767,44.58
768,17.43
769,15.32
770,16.39
771,15.14
772,31.63
773,45.55
774,48.54
775,47.25
776,56.39
777,64.76
778,56.66
779,57.14
780,51.44
781,53.0
782,46.05
783,50.75
784,55.05
785,55.38
786,73.14
787,85.81
788,83.82
789,85.75
790,83.64
791,74.81
792,72.05
793,74.79
794,43.38
795,47.88
796,36.27
797,33.33
798,32.94
799,26.62
800,35.05
801,31.58
802,47.88
803,63.22
804,63.84
805,71.39
806,80.33
807,92.52
808,91.35
809,83.23
810,91.3
811,82.71
812,80.82
813,72.14
814,50.0
815,50.0
816,29.92
817,29.55
818,33.24
819,33.05
820,40.96
821,40.06
822,33.72
823,48.29
824,33.24
825,46.15
826,47.58
827,41.01
828,54.3
829,53.15
830,60.19
831,73.91
832,71.7
833,73.11
834,74.06
835,76.24
836,85.65
837,59.87
838,67.65
839,57.32
840,60.34
841,71.61
842,81.52
843,81.94
844,80.82
845,60.69
846,53.29
847,49.57
848,50.62
849,32.99
850,17.84
851,20.25
852,12.06
853,9.56
854,20.52
855,36.24
856,39.08
857,30.48
858,48.87
859,57.4
860,55.25
861,47.47
862,46.55
863,37.46
864,28.92
865,21.14
866,24.76
867,10.83
868,18.25
869,37.13
870,50.32
871,49.68
872,59.53
873,65.02
874,62.38
875,67.54
876,78.62
877,62.52
878,52.78
879,61.75
880,67.97
881,61.01
882,60.7
883,54.13
884,57.37
885,56.1
886,55.52
887,39.59
888,17.19
889,19.09
890,27.23
891,36.17
892,38.84
893,34.41
894,44.8
895,52.37
896,66.98
897,78.81
898,80.84
899,76.15
900,60.0
901,72.12
902,84.1
903,72.92
904,68.92
905,58.23
906,44.47
907,37.85
908,37.33
909,45.93
910,51.53
911,56.36
912,58.44
913,64.09
914,69.16
915,79.95
916,73.35
917,72.8
918,72.38
919,67.37
920,54.24
921,56.8
922,45.45
923,66.8
924,75.64
925,64.84
926,58.42
927,61.47
928,55.63
929,66.49
930,68.5
931,68.81
932,71.36
933,69.21
934,75.86
935,91.57
936,76.2
937,70.8
938,67.67
939,71.52
940,72.69
941,63.73
942,62.32
943,63.89
944,62.27
945,83.61
946,90.51
947,87.09
948,82.85
949,78.21
950,79.76
951,90.28
952,94.67
953,93.84
954,80.34
955,80.98
956,86.15
957,80.61
958,89.72
959,90.79
960,87.97
961,87.22
962,69.66
963,70.45
964,66.39
965,50.72
966,47.96
967,20.26
968,43.26
969,49.86
970,52.49
971,50.51
972,51.41
973,54.85
974,71.18
975,77.51
976,84.76
977,80.52
978,73.7
979,71.0
980,89.3
981,50.42
982,49.36
983,49.89
984,45.41
985,34.56
986,42.33
987,49.6
988,47.96
989,43.8
990,74.15
991,75.34
992,61.38
993,64.55
994,77.07
995,79.46
996,76.55
997,82.42
998,91.08
999,78.87
1000,60.1
1001,69.84
1002,74.37
1003,67.26
1004,50.55
1005,49.2
1006,49.74
1007,40.0
1008,49.04
1009,58.23
1010,52.03
1011,46.6
1012,57.3
1013,63.78
1014,66.77
1015,57.89
1016,82.0
1017,57.39
1018,66.37
1019,70.29
1020,47.15
1021,37.03
1022,37.03
1023,40.62
1024,55.88
1025,59.55
1026,66.32
1027,62.88
1028,54.89
1029,82.38
1030,76.51
1031,63.2
1032,53.61
1033,53.89
1034,57.46
1035,63.54
1036,62.07
1037,64.1
1038,56.38
1039,54.08
1040,56.68
1041,59.89
1042,15.15
1043,16.87
1044,13.9
1045,11.64
1046,9.92
1047,25.07
1048,26.02
1049,32.35
1050,33.15
1051,60.44
1052,38.04
1053,43.78
1054,54.64
1055,63.52
1056,59.73
1057,64.65
1058,67.69
1059,68.33
1060,68.19
1061,93.33
1062,83.33
1063,68.87
1064,68.21
1065,61.83
1066,57.58
1067,56.87
1068,56.13
1069,56.66
1070,63.38
1071,70.9
1072,74.7
1073,76.26
1074,78.91
1075,82.65
1076,79.57
1077,80.37
1078,79.71
1079,84.55
1080,79.08
1081,91.71
1082,92.57
1083,92.32
1084,90.93
1085,79.12
1086,80.3
1087,82.22
1088,77.73
1089,87.26
1090,86.92
1091,82.85
1092,82.28
1093,60.63
1094,76.67
1095,73.86
1096,72.62
1097,76.14
1098,70.11
1099,74.12
1100,70.13
1101,66.42
1102,84.49
1103,63.05
1104,66.35
1105,64.78
1106,65.29
1107,68.27
1108,63.24
1109,66.56
1110,57.49
1111,40.8
1112,33.13
1113,43.27
1114,41.74
1115,27.31
1116,41.38
1117,43.96
1118,53.19
1119,55.07
1120,64.61
1121,68.21
1122,64.01
1123,53.6
1124,60.07
1125,44.29
1126,47.07
1127,31.5
1128,32.68
1129,40.86
1130,53.65
1131,54.12
1132,75.43
1133,59.01
1134,73.53
1135,77.93
1136,79.77
1137,81.14
1138,78.85
1139,73.32
1140,73.32
1141,61.67
1142,77.81
1143,57.8
1144,43.99
1145,25.91
1146,16.29
1147,23.62
1148,22.0
1149,26.04
1150,35.01
1151,26.11
1152,39.08
1153,40.93
1154,55.84
1155,51.35
1156,44.41
1157,49.3
1158,39.32
1159,30.07
1160,37.44
1161,35.22
1162,33.44
1163,22.78
1164,46.98
1165,51.53
1166,58.33
1167,66.42
1168,59.78
1169,66.94
1170,59.12
1171,60.8
1172,66.07
1173,53.37
1174,55.67
1175,39.02
1176,40.76
1177,61.82
1178,51.27
1179,59.54
1180,55.95
1181,46.55
1182,71.29
1183,72.1
1184,88.01
1185,90.6
1186,84.2
1187,84.14
1188,83.81
1189,84.39
1190,88.37
1191,85.07
1192,76.07
1193,74.17
1194,64.83
1195,76.82
1196,70.82
1197,72.46
1198,60.24
1199,56.44
1200,51.71
1201,47.17
1202,44.64
1203,45.0
1204,33.44
1205,22.06
1206,15.66
1207,26.23
1208,27.91
1209,22.5
1210,36.31
1211,45.73
1212,41.38
1213,49.78
1214,52.74
1215,51.86
1216,41.06
1217,48.51
1218,34.76
1219,26.45
1220,19.29
1221,19.68
1222,31.04
1223,37.43
1224,32.86
1225,36.47
1226,25.98
1227,37.38
1228,33.11
1229,38.03
1230,48.63
1231,49.11
1232,52.31
1233,60.63
1234,56.24
1235,61.55
1236,65.33
1237,83.13
1238,86.64
1239,85.66
1240,56.71
1241,57.67
1242,54.54
1243,50.27
1244,46.71
1245,39.85
1246,27.97
1247,29.35
1248,41.05
1249,60.55
1250,48.05
1251,45.92
1252,48.66
1253,47.67
1254,44.88
1255,36.47
1256,33.39
1257,9.1
1258,9.18
1259,19.7
1260,17.15
1261,27.99
1262,27.05
1263,25.13
1264,24.79
1265,23.04
1266,24.26
1267,35.1
1268,34.85
1269,36.08
1270,36.25
1271,46.66
1272,46.56
1273,64.85
1274,73.69
1275,74.28
1276,51.8
1277,45.09
1278,51.7
1279,41.65
1280,40.0
1281,49.68
1282,46.15
1283,34.24
1284,37.45
1285,54.3
1286,63.0
1287,52.65
1288,63.9
1289,68.34
1290,67.8
1291,61.26
1292,62.35
1293,47.7
1294,43.02
1295,39.25
1296,47.52
1297,34.39
1298,17.83
1299,5.25
1300,32.45
1301,33.62
1302,43.0
1303,39.17
1304,41.0
1305,53.98
1306,51.66
1307,63.03
1308,71.41
1309,61.68
1310,58.89
1311,55.82
1312,58.97
1313,59.06
1314,58.11
1315,72.09
1316,66.56
1317,54.68
1318,55.95
1319,68.7
1320,71.53
1321,84.6
1322,55.35
1323,12.89
1324,20.49
1325,51.16
1326,53.39
1327,62.21
1328,61.7
1329,59.32
1330,58.56
1331,85.86
1332,89.53
1333,89.0
1334,70.19
1335,66.89
1336,69.77
1337,73.33
1338,70.59
1339,72.95
1340,50.35
1341,46.29
1342,41.15
1343,52.29
1344,51.12
1345,41.38
1346,45.82
1347,51.17
1348,51.24
1349,51.01
1350,38.72
1351,42.31
1352,27.07
1353,34.85
1354,34.34
1355,26.81
1356,28.43
1357,19.06
1358,21.34
1359,30.35
1360,50.13
1361,37.36
1362,37.3
1363,33.67
1364,26.99
1365,29.7
1366,41.4
1367,43.62
1368,40.49
1369,24.44
1370,39.14
1371,24.69
1372,24.86
1373,30.3
1374,24.15
1375,2.17
1376,2.02
1377,2.18
1378,7.69
1379,4.37
1380,5.56
1381,23.97
1382,19.37
1383,24.26
1384,30.15
1385,31.66
1386,28.45
1387,42.94
1388,57.59
1389,61.0
1390,53.71
1391,69.12
1392,68.57
1393,60.56
1394,61.9
1395,58.76
1396,57.0
1397,57.43
1398,44.65
1399,44.08
1400,38.55
1401,49.09
1402,60.54
1403,54.14
1404,67.74
1405,64.16
1406,52.47
1407,56.7
1408,62.38
1409,65.43
1410,46.16
1411,38.7
1412,48.47
1413,33.17
1414,42.05
1415,37.75
1416,44.33
1417,43.69
1418,51.44
1419,51.91
1420,58.01
1421,57.01
1422,42.01
1423,32.59
1424,55.19
1425,44.09
1426,42.39
1427,40.91
1428,46.45
1429,33.09
1430,35.68
1431,34.62
1432,44.04
1433,46.61
1434,45.8
1435,40.73
1436,36.47
1437,40.65
1438,54.74
1439,38.73
1440,53.95
1441,47.9
1442,31.89
1443,33.44
1444,30.67
1445,25.72
1446,18.68
1447,12.24
1448,14.1
1449,31.62
1450,29.94
1451,26.29
1452,34.8
1453,36.42
1454,47.55
1455,48.14
1456,49.53
1457,54.67
1458,33.13
1459,32.23
1460,57.27
1461,48.52
1462,55.73
1463,49.73
1464,54.57
1465,67.02
1466,56.22
1467,56.9
1468,65.25
1469,45.53
1470,45.23
1471,29.07
1472,41.45
1473,34.81
1474,28.01
1475,38.02
1476,38.13
1477,25.5
1478,37.91
1479,46.52
1480,52.48
1481,47.82
1482,46.29
1483,52.62
1484,51.32
1485,56.41
1486,71.66
1487,68.15
1488,57.91
1489,56.55
1490,47.38
1491,68.84
1492,56.87
1493,61.84
1494,64.72
1495,55.19
1496,39.05
1497,40.81
1498,35.54
1499,44.3
1500,40.16
1501,51.65
1502,52.01
1503,55.77
1504,60.75
1505,54.26
1506,57.5
1507,56.31
1508,48.68
1509,46.31
1510,29.64
1511,4.04
1512,12.79
1513,7.16
1514,26.42
1515,25.61
1516,26.77
1517,32.59
1518,36.75
1519,56.97
1520,48.18
1521,40.08
1522,47.63
1523,41.18
1524,42.14
1525,51.04
1526,58.97
1527,55.26
1528,32.92
1529,40.25
1530,49.09
1531,45.01
1532,30.92
1533,31.86
1534,27.26
1535,5.78
1536,4.84
1537,23.13
1538,20.34
1539,16.56
1540,17.04
1541,17.2
1542,15.8
1543,26.24
1544,24.59
1545,31.97
1546,17.23
1547,38.38
1548,40.86
1549,53.69
1550,66.08
1551,72.55
1552,72.77
1553,87.4
1554,80.63
1555,92.09
1556,91.29
1557,83.18
1558,79.43
1559,81.64
1560,74.86
1561,53.12
1562,52.76
1563,62.49
1564,67.68
1565,61.36
1566,62.67
1567,53.25
1568,47.51
1569,60.11
1570,75.72
1571,65.63
1572,63.51
1573,56.46
1574,56.24
1575,45.23
1576,58.43
1577,51.12
1578,44.37
1579,52.98
1580,56.1
1581,49.28
1582,53.16
1583,52.18
1584,73.97
1585,76.33
1586,88.04
1587,87.87
1588,74.45
1589,84.18
1590,76.17
1591,71.99
1592,59.91
1593,56.62
1594,42.83
1595,55.35
1596,48.54
1597,50.55
1598,34.1
1599,38.47
1600,51.6
1601,50.19
1602,55.48
1603,61.4
1604,61.28
1605,63.65
1606,64.24
1607,73.56
1608,77.28
1609,70.64
1610,88.7
1611,87.0
1612,82.96
1613,71.43
1614,37.6
1615,32.51
1616,20.6
1617,25.23
1618,34.4
1619,21.0
1620,19.15
1621,19.19
1622,29.62
1623,34.48
1624,46.37
1625,43.93
1626,43.72
1627,30.9
1628,49.55
1629,42.05
1630,41.32
1631,28.98
1632,28.64
1633,36.96
1634,43.95
1635,55.11
1636,75.24
1637,75.0
1638,92.02
1639,94.35
1640,88.7
1641,94.76
1642,94.14
1643,93.92
1644,88.82
1645,85.66
1646,86.06
1647,83.93
1648,85.21
1649,95.4
1650,83.07
1651,75.68
1652,80.58
1653,83.58
1654,66.8
1655,70.34
1656,71.98
1657,56.75
1658,38.12
1659,47.46
1660,52.93
1661,49.67
1662,59.26
1663,67.04
1664,63.78
1665,60.24
1666,68.98
1667,93.51
1668,81.63
1669,52.43
1670,46.0
1671,31.12
1672,42.46
1673,47.56
1674,51.01
1675,53.07
1676,54.67
1677,60.98
1678,91.08
1679,97.57
1680,97.37
1681,97.09
1682,72.79
1683,73.39
1684,61.54
1685,53.88
1686,50.73
1687,55.42
1688,39.54
1689,36.66
1690,23.46
1691,26.69
1692,33.08
1693,45.62
1694,52.9
1695,58.96
1696,55.94
1697,61.74
1698,62.75
1699,91.97
1700,98.18
1701,89.54
1702,89.06
1703,86.41
1704,66.24
1705,70.96
1706,58.67
1707,52.2
1708,40.07
1709,31.95
1710,48.77
1711,32.74
1712,37.56
1713,40.65
1714,36.17
1715,51.18
1716,57.52
1717,65.95
1718,74.8
1719,70.46
1720,87.45
1721,87.12
1722,91.15
1723,90.7
1724,88.14
1725,77.14
1726,62.25
1727,68.74
1728,63.98
1729,75.87
1730,58.46
1731,58.53
1732,53.82
1733,45.79
1734,56.2
1735,57.67
1736,36.87
1737,43.92
1738,46.93
1739,61.98
1740,53.61
1741,51.89
1742,60.98
1743,43.57
1744,47.03
1745,58.16
1746,58.82
1747,50.27
1748,50.4
1749,48.48
1750,54.77
1751,40.27
1752,69.46
1753,67.11
1754,69.77
1755,67.0
1756,69.29
1757,65.6
1758,62.92
1759,66.12
1760,94.08
1761,57.75
1762,70.03
1763,54.11
1764,34.98
1765,25.73
1766,21.98
1767,22.36
1768,23.95
1769,17.65
1770,18.76
1771,19.95
1772,30.66
1773,42.64
1774,38.28
1775,36.93
1776,34.91
1777,38.86
1778,44.82
1779,55.65
1780,48.59
1781,51.14
1782,53.5
1783,82.89
1784,88.54
1785,95.62
1786,80.04
1787,85.04
1788,73.3
1789,72.05
1790,68.46
1791,64.76
1792,52.13
1793,58.2
1794,69.75
1795,82.74
1796,81.19
1797,91.92
1798,94.36
1799,93.4
1800,93.14
1801,97.76
1802,97.73
1803,97.19
1804,100.0
1805,69.93
1806,75.83
1807,67.52
1808,66.12
1809,66.39
1810,65.18
1811,64.04
1812,51.85
1813,51.11
1814,74.07
1815,65.12
1816,60.2
1817,63.88
1818,69.52
1819,66.76
1820,65.44
1821,83.67
1822,82.24
1823,58.74
1824,63.51
1825,74.94
1826,70.3
1827,65.5
1828,71.4
1829,71.27
1830,39.74
1831,42.83
1832,63.18
1833,43.9
1834,51.75
1835,41.61
1836,38.79
1837,24.57
1838,22.05
1839,43.59
1840,40.68
1841,42.33
1842,44.22
1843,34.96
1844,39.82
1845,38.46
1846,47.83
1847,40.21
1848,24.13
1849,22.43
1850,9.82
1851,9.81
1852,34.55
1853,31.93
