,RSI
9,61.24
10,41.59
11,53.23
12,81.34
13,82.33
14,84.8
15,81.68
16,72.9
17,76.71
18,77.25
19,79.36
20,63.46
21,75.56
22,47.25
23,47.7
24,42.09
25,41.39
26,36.34
27,27.73
28,27.73
29,28.11
30,20.33
31,38.72
32,23.85
33,21.14
34,17.93
35,20.34
36,21.06
37,28.39
38,28.09
39,25.28
40,19.24
41,22.05
42,32.26
43,50.12
44,53.88
45,59.0
46,30.79
47,21.8
48,34.73
49,28.39
50,31.73
51,27.37
52,26.36
53,18.59
54,16.77
55,18.64
56,42.28
57,40.32
58,57.65
59,46.64
60,47.65
61,48.16
62,49.21
63,43.77
64,48.24
65,50.45
66,43.32
67,39.09
68,53.62
69,53.42
70,55.12
71,59.82
72,81.87
73,86.49
74,83.85
75,88.01
76,73.42
77,64.88
78,67.94
79,65.74
80,73.68
81,69.49
82,61.02
83,55.74
84,51.18
85,71.4
86,71.56
87,66.84
88,59.5
89,52.27
90,48.49
91,34.48
92,40.29
93,70.45
94,63.74
95,75.49
96,81.16
97,84.76
98,65.12
99,73.55
100,63.03
101,54.95
102,30.61
103,31.31
104,35.39
105,24.86
106,36.47
107,40.7
108,40.54
109,43.73
110,42.49
111,52.26
112,42.14
113,23.96
114,18.89
115,16.8
116,22.78
117,24.04
118,36.69
119,38.9
120,35.06
121,38.48
122,52.99
123,64.58
124,63.36
125,65.47
126,62.07
127,36.12
128,28.27
129,37.53
130,33.33
131,33.5
132,44.72
133,44.83
134,36.29
135,41.08
136,45.88
137,63.85
138,56.51
139,52.37
140,47.37
141,39.87
142,41.43
143,49.76
144,44.39
145,51.75
146,49.15
147,56.68
148,70.48
149,67.25
150,62.95
151,36.14
152,33.82
153,37.15
154,33.21
155,26.32
156,17.15
157,23.48
158,22.79
159,28.08
160,29.39
161,37.26
162,32.29
163,47.57
164,44.55
165,42.33
166,36.71
167,35.63
168,35.25
169,38.78
170,33.57
171,27.2
172,8.71
173,17.87
174,20.52
175,14.69
176,16.61
177,9.39
178,8.07
179,5.73
180,31.32
181,36.82
182,32.91
183,35.1
184,51.13
185,52.0
186,60.79
187,75.72
188,97.05
189,90.0
190,80.92
191,79.35
192,82.75
193,81.82
194,77.21
195,72.42
196,67.38
197,50.27
198,51.11
199,54.28
200,66.67
201,53.03
202,39.35
203,55.52
204,55.86
205,37.59
206,41.16
207,40.84
208,53.96
209,48.12
210,56.71
211,63.9
212,57.05
213,59.19
214,78.69
215,86.02
216,91.91
217,89.42
218,88.58
219,78.66
220,77.5
221,68.63
222,59.57
223,66.96
224,72.95
225,57.03
226,41.28
227,49.61
228,47.61
229,36.54
230,51.76
231,64.1
232,58.02
233,52.64
234,45.15
235,53.41
236,46.2
237,40.39
238,48.35
239,43.99
240,34.82
241,40.87
242,38.86
243,56.43
244,56.1
245,58.4
246,79.07
247,75.48
248,60.15
249,58.4
250,61.19
251,78.88
252,64.05
253,63.79
254,51.18
255,50.0
256,42.18
257,43.82
258,46.28
259,25.6
260,25.82
261,26.77
262,25.36
263,34.91
264,34.33
265,39.93
266,46.27
267,24.47
268,43.9
269,47.84
270,46.95
271,38.73
272,32.3
273,28.17
274,26.71
275,35.28
276,54.08
277,46.28
278,44.14
279,46.58
280,55.84
281,60.82
282,50.28
283,62.12
284,42.09
285,40.94
286,50.97
287,44.96
288,47.7
289,51.11
290,61.02
291,77.29
292,71.52
293,90.56
294,86.36
295,84.01
296,86.34
297,85.81
298,77.78
299,68.85
300,57.16
301,68.34
302,63.37
303,43.95
304,40.34
305,35.74
306,28.03
307,40.98
308,42.07
309,39.37
310,29.96
311,17.94
312,23.81
313,20.77
314,21.97
315,38.1
316,15.62
317,34.55
318,20.58
319,28.9
320,28.25
321,49.74
322,51.07
323,48.72
324,49.24
325,44.52
326,35.75
327,42.9
328,37.66
329,32.16
330,5.8
331,18.48
332,30.64
333,26.74
334,28.74
335,24.24
336,26.02
337,47.5
338,51.24
339,45.91
340,49.83
341,53.22
342,53.04
343,58.72
344,69.96
345,66.25
346,48.57
347,55.16
348,72.25
349,53.98
350,40.66
351,37.88
352,29.97
353,22.87
354,26.59
355,21.54
356,22.78
357,19.74
358,18.07
359,14.77
360,20.98
361,18.55
362,25.0
363,22.84
364,30.2
365,46.53
366,47.07
367,45.12
368,40.48
369,35.58
370,41.52
371,30.43
372,33.41
373,43.0
374,26.55
375,15.65
376,16.24
377,22.84
378,24.86
379,47.75
380,51.59
381,42.93
382,27.26
383,31.52
384,33.28
385,40.18
386,33.5
387,34.16
388,9.33
389,8.27
390,8.17
391,8.89
392,28.27
393,28.57
394,33.04
395,47.82
396,50.21
397,57.83
398,59.78
399,61.54
400,59.26
401,54.67
402,60.56
403,63.11
404,54.38
405,48.96
