,Date,Adj Close,Volume
0,2003-01-02,8591.0,19570.0
1,2003-01-03,8604.0,18817.0
3,2003-01-06,8737.0,23716.0
4,2003-01-07,8750.0,22104.0
5,2003-01-08,8583.0,22671.0
6,2003-01-09,8741.0,26266.0
7,2003-01-10,8767.0,24558.0
9,2003-01-13,8777.0,17999.0
10,2003-01-14,8810.0,21432.0
11,2003-01-15,8731.0,22764.0
12,2003-01-16,8700.0,17088.0
13,2003-01-17,8583.0,26077.0
16,2003-01-21,8435.0,27207.0
17,2003-01-22,8300.0,29332.0
18,2003-01-23,8320.0,29916.0
19,2003-01-24,8113.0,33020.0
21,2003-01-27,7983.0,26839.0
22,2003-01-28,8045.0,30611.0
23,2003-01-29,8074.0,30195.0
24,2003-01-30,7900.0,31632.0
25,2003-01-31,8047.0,21839.0
27,2003-02-03,8077.0,26434.0
28,2003-02-04,8020.0,32520.0
29,2003-02-05,7980.0,35249.0
30,2003-02-06,7940.0,29581.0
31,2003-02-07,7853.0,32036.0
33,2003-02-10,7909.0,31896.0
34,2003-02-11,7839.0,29194.0
35,2003-02-12,7735.0,31448.0
36,2003-02-13,7760.0,35565.0
37,2003-02-14,7925.0,27627.0
40,2003-02-18,8047.0,23983.0
41,2003-02-19,8013.0,28634.0
42,2003-02-20,7925.0,30866.0
43,2003-02-21,8000.0,26466.0
45,2003-02-24,7860.0,33775.0
46,2003-02-25,7920.0,28708.0
47,2003-02-26,7810.0,34560.0
48,2003-02-27,7892.0,27556.0
49,2003-02-28,7920.0,26365.0
51,2003-03-03,7843.0,26617.0
52,2003-03-04,7712.0,32898.0
53,2003-03-05,7767.0,34246.0
54,2003-03-06,7675.0,33261.0
55,2003-03-07,7735.0,27862.0
57,2003-03-10,7560.0,34795.0
58,2003-03-11,7519.0,40740.0
59,2003-03-12,7561.0,13236.0
60,2003-03-13,7829.0,6317.0
61,2003-03-14,7876.0,4714.0
63,2003-03-17,8127.0,3931.0
64,2003-03-18,8196.0,2289.0
65,2003-03-19,8267.0,2336.0
66,2003-03-20,8289.0,2336.0
67,2003-03-21,8289.0,34321.0
69,2003-03-24,8190.0,36262.0
70,2003-03-25,8242.0,35288.0
71,2003-03-26,8198.0,35976.0
72,2003-03-27,8170.0,28290.0
73,2003-03-28,8120.0,35189.0
75,2003-03-31,7940.0,39388.0
76,2003-04-01,8040.0,31853.0
77,2003-04-02,8242.0,33109.0
78,2003-04-03,8198.0,31130.0
79,2003-04-04,8250.0,38795.0
81,2003-04-07,8254.0,31474.0
82,2003-04-08,8282.0,43703.0
83,2003-04-09,8180.0,33151.0
84,2003-04-10,8204.0,38203.0
85,2003-04-11,8178.0,32409.0
87,2003-04-14,8342.0,31859.0
88,2003-04-15,8400.0,37524.0
89,2003-04-16,8228.0,30799.0
90,2003-04-17,8310.0,33351.0
93,2003-04-21,8325.0,49611.0
94,2003-04-22,8461.0,36094.0
95,2003-04-23,8491.0,32760.0
96,2003-04-24,8409.0,36306.0
97,2003-04-25,8286.0,38302.0
99,2003-04-28,8442.0,45669.0
100,2003-04-29,8477.0,44576.0
101,2003-04-30,8453.0,39503.0
102,2003-05-01,8430.0,52361.0
103,2003-05-02,8545.0,48165.0
105,2003-05-05,8515.0,48710.0
106,2003-05-06,8570.0,49994.0
107,2003-05-07,8548.0,48985.0
108,2003-05-08,8478.0,34065.0
109,2003-05-09,8578.0,41328.0
111,2003-05-12,8695.0,38103.0
112,2003-05-13,8667.0,40966.0
113,2003-05-14,8652.0,44708.0
114,2003-05-15,8697.0,32402.0
115,2003-05-16,8675.0,41116.0
117,2003-05-19,8490.0,52449.0
118,2003-05-20,8483.0,47083.0
119,2003-05-21,8495.0,38186.0
120,2003-05-22,8577.0,26190.0
121,2003-05-23,8592.0,40807.0
124,2003-05-27,8757.0,39658.0
125,2003-05-28,8772.0,46530.0
126,2003-05-29,8713.0,39297.0
127,2003-05-30,8852.0,45928.0
129,2003-06-02,8903.0,47196.0
130,2003-06-03,8927.0,53500.0
131,2003-06-04,9035.0,44234.0
132,2003-06-05,9040.0,56047.0
133,2003-06-06,9055.0,47945.0
135,2003-06-09,8992.0,39125.0
136,2003-06-10,9067.0,45249.0
137,2003-06-11,9177.0,16175.0
138,2003-06-12,9212.0,6536.0
139,2003-06-13,9131.0,5442.0
141,2003-06-16,9316.0,3632.0
142,2003-06-17,9317.0,2966.0
143,2003-06-18,9296.0,3909.0
144,2003-06-19,9182.0,3909.0
145,2003-06-20,9252.0,41467.0
